id,ticker,strike,expiry,price,size,date
1000013,AAPL,120,2024-06-21,0.55,100,2023-12-01
1000014,AAPL,125,2024-06-21,0.67,100,2023-12-01
1000015,AAPL,130,2024-06-21,0.82,100,2023-12-01
1000016,AAPL,135,2024-06-21,1,100,2023-12-01
1000017,AAPL,140,2024-06-21,1.24,100,2023-12-01
1000018,AAPL,145,2024-06-21,1.52,100,2023-12-01
1000019,AAPL,150,2024-06-21,1.87,100,2023-12-01
1000020,AAPL,155,2024-06-21,2.31,100,2023-12-01
1000021,AAPL,160,2024-06-21,2.86,100,2023-12-01
1000022,AAPL,165,2024-06-21,3.55,100,2023-12-01
1000023,AAPL,170,2024-06-21,4.4,100,2023-12-01
1000024,AAPL,175,2024-06-21,5.45,100,2023-12-01
1000025,AAPL,180,2024-06-21,6.65,100,2023-12-01
1000026,AAPL,185,2024-06-21,8.15,100,2023-12-01
1000027,AAPL,190,2024-06-21,9.9,100,2023-12-01
1000028,AAPL,195,2024-06-21,11.95,100,2023-12-01
1000029,AAPL,200,2024-06-21,14.45,100,2023-12-01
1000030,AAPL,205,2024-06-21,17.5,100,2023-12-01
1000031,AAPL,210,2024-06-21,20.95,100,2023-12-01
1000032,AAPL,215,2024-06-21,24.9,100,2023-12-01
1000033,AAPL,220,2024-06-21,29.55,100,2023-12-01
1000034,AAPL,225,2024-06-21,34.35,100,2023-12-01
1000035,AAPL,230,2024-06-21,39.85,100,2023-12-01
1000036,AAPL,235,2024-06-21,44.3,100,2023-12-01
1000037,AAPL,240,2024-06-21,49.6,100,2023-12-01
1000038,AAPL,245,2024-06-21,54.4,100,2023-12-01
1000039,AAPL,250,2024-06-21,59.45,100,2023-12-01
1000040,AAPL,255,2024-06-21,64.3,100,2023-12-01
1000041,AAPL,260,2024-06-21,69.35,100,2023-12-01
1000042,AAPL,265,2024-06-21,74.4,100,2023-12-01
1000043,AAPL,270,2024-06-21,79.25,100,2023-12-01
1000044,AAPL,275,2024-06-21,84.45,100,2023-12-01
1000045,AAPL,280,2024-06-21,89.45,100,2023-12-01
1000139,AAPL,120,2024-01-05,0.05,100,2023-12-01
1000140,AAPL,125,2024-01-05,0.05,100,2023-12-01
1000141,AAPL,130,2024-01-05,0.06,100,2023-12-01
1000142,AAPL,135,2024-01-05,0.06,100,2023-12-01
1000143,AAPL,140,2024-01-05,0.07,100,2023-12-01
1000144,AAPL,145,2024-01-05,0.1,100,2023-12-01
1000145,AAPL,150,2024-01-05,0.1,100,2023-12-01
1000146,AAPL,155,2024-01-05,0.12,100,2023-12-01
1000147,AAPL,160,2024-01-05,0.14,100,2023-12-01
1000148,AAPL,165,2024-01-05,0.18,100,2023-12-01
1000149,AAPL,170,2024-01-05,0.25,100,2023-12-01
1000150,AAPL,175,2024-01-05,0.38,100,2023-12-01
1000151,AAPL,180,2024-01-05,0.69,100,2023-12-01
1000152,AAPL,185,2024-01-05,1.4,100,2023-12-01
1000153,AAPL,190,2024-01-05,2.81,100,2023-12-01
1000154,AAPL,195,2024-01-05,5.35,100,2023-12-01
1000155,AAPL,200,2024-01-05,9.35,100,2023-12-01
1000156,AAPL,205,2024-01-05,14.3,100,2023-12-01
1000157,AAPL,210,2024-01-05,19.3,100,2023-12-01
1000158,AAPL,215,2024-01-05,24.3,100,2023-12-01
1000159,AAPL,220,2024-01-05,29.3,100,2023-12-01
1000160,AAPL,225,2024-01-05,34.3,100,2023-12-01
1000161,AAPL,230,2024-01-05,39.3,100,2023-12-01
1000162,AAPL,235,2024-01-05,44.3,100,2023-12-01
1000163,AAPL,240,2024-01-05,49.3,100,2023-12-01
1000164,AAPL,245,2024-01-05,54.3,100,2023-12-01
1000165,AAPL,250,2024-01-05,59.3,100,2023-12-01
1000166,AAPL,255,2024-01-05,64.3,100,2023-12-01
1000167,AAPL,260,2024-01-05,69.3,100,2023-12-01
1000168,AAPL,265,2024-01-05,74.2,100,2023-12-01
1000169,AAPL,120,2024-01-12,0.08,100,2023-12-01
1000170,AAPL,125,2024-01-12,0.09,100,2023-12-01
1000171,AAPL,130,2024-01-12,0.09,100,2023-12-01
1000172,AAPL,135,2024-01-12,0.13,100,2023-12-01
1000173,AAPL,140,2024-01-12,0.14,100,2023-12-01
1000174,AAPL,145,2024-01-12,0.16,100,2023-12-01
1000175,AAPL,150,2024-01-12,0.18,100,2023-12-01
1000176,AAPL,155,2024-01-12,0.2,100,2023-12-01
